ID	ALIGNMENT	CLASSES	COGID	COGIDS	COGNACY	CONCEPT	DOCULECT	DUPLICATES	FORM	IPA	LANGID	LANGUAGE_NAME	MORPHEMES	NUMBERS	PROSTRINGS	SONARS	TOKENS	VALUE	WEIGHTS	NOTE	BORROWING
4359	- n o p - - ĩ	NUPI	1333	9715	tocandiratucandeira	LARGE ANT / BULLET ANT	Karitiana	0	nopĩ	nopĩ	35	Karitiana	LARGE_BULLET_ANT	35.N.C 35.U.V 35.P.C 35.I.V	AXBZ	4 7 1 7	n o p ĩ	nopĩ	2.0 1.5 1.75 0.8		
4360	ɲ õ ɲ p e k t ɨ	NUN_PEKTI	1346	9757	bagremandisurubimbagre	LARGE MANDI FISH	Karitiana	0	ɲõɲ pektɨ	ɲõɲ+pektɨ	35	Karitiana	BIG	35.N.C 35.U.V 35.N.c 35._._ 35.P.C 35.E.V 35.K.c 35.T.C 35.I.V	AXN_AXMBZ	4 7 4 9 1 7 1 1 7	ɲ õ ɲ p e k t ɨ	ɲõɲ pektɨ	2.0 1.5 0.8 0.0 2.0 1.5 1.1 1.75 0.8		
4361	- - a n ɨ j ɨ	ANIJI	3412	1539	rir	LAUGH	Karitiana	0	anɨjɨ	anɨjɨ	35	Karitiana	LAUGH	35.A.V 35.N.C 35.I.V 35.J.C 35.I.V	XBYBZ	7 4 7 6 7	a n ɨ j ɨ	anɨjɨ / ahoj	1.5 1.75 1.3 1.75 0.8		
4362	- a h o j - -	AHUJ	3416	1543	rir	LAUGH	Karitiana	0	ahoj	ahoj	35	Karitiana	LAUGH	35.A.V 35.H.C 35.U.V 35.J.c	XBYN	7 3 7 6	a h o j	anɨjɨ / ahoj	1.5 1.75 1.3 0.8		
4363	e p e + s a p	EPESAP	1360	9861 154	folha	LEAF	Karitiana	0	epesap	epesap	35	Karitiana	LEAF HAIR	35.E.V 35.P.C 35.E.V 35.S.C 35.A.V 35.P.c	XBYBYN	7 1 7 3 7 1	e p e + s a p	epesap	1.5 1.75 1.3 1.75 1.3 0.8		
4364	- s ae p	SAP	3783	2060	perna	LEG	Karitiana	0	saep	saep	35	Karitiana	LEG	35.S.C 35.A.V 35.P.c	AXN	3 7 1	s ae p	saep	2.0 1.5 0.8		
4365	- - k ɨ r ɨ - - -	KIRI	1386	10053	figado	LIVER	Karitiana	0	kɨrɨ	kɨrɨ	35	Karitiana	LIVER	35.K.C 35.I.V 35.R.C 35.I.V	AXBZ	1 7 5 7	k ɨ r ɨ	kɨrɨ	2.0 1.5 1.75 0.8		
4366	- õ h ĩ	UHI	1392	10115	lagartocalango	LIZARD	Karitiana	0	õhĩ	õhĩ	35	Karitiana	LIZARD	35.U.V 35.H.C 35.I.V	XBZ	7 3 7	õ h ĩ	õhĩ	1.5 1.75 0.8		
4367	h o r o w a	HURUWA	1400	10168	compridolongoalto	LONG	Karitiana	0	horowa	horowa	35	Karitiana	LONG	35.H.C 35.U.V 35.R.C 35.U.V 35.W.C 35.A.V	AXBYBZ	3 7 5 7 6 7	h o r o w a	horowa	2.0 1.5 1.75 1.3 1.75 0.8		
4368	- ŋ e p - -	NEP	1410	10286	piolho1	LOUSE	Karitiana	1	ŋep	ŋep	35	Karitiana	LOUSE	35.N.C 35.E.V 35.P.c	AXN	4 7 1	ŋ e p	ŋep	2.0 1.5 0.8		
4369	p a t - -	PAT	1416	10357	arara4	MACAW	Karitiana	0	pat	pat	35	Karitiana	MACAW	35.P.C 35.A.V 35.T.c	AXN	1 7 1	p a t	pat	2.0 1.5 0.8		
4370	t a s o - - - -	TASU	1430	10421	homem	MAN	Karitiana	0	taso	taso	35	Karitiana	MAN	35.T.C 35.A.V 35.S.C 35.U.V	AXBZ	1 7 3 7	t a s o	taso	2.0 1.5 1.75 0.8		
4371	p i - t a t -	PITAT	1433	10491	muitos	MANY	Karitiana	0	pitat	pitat	35	Karitiana	MANY	35.P.C 35.I.V 35.T.C 35.A.V 35.T.c	AXBYN	1 7 1 7 1	p i t a t	pitat	2.0 1.5 1.75 1.3 0.8		
4372	- a p - - - -	AP	1442	10554	remedio3	MEDICINE	Karitiana	0	ap	ap	35	Karitiana	MEDICINE	35.A.V 35.P.c	XN	7 1	a p	ap	1.5 0.8		
4373	- - o t i	UTI	1464	10691	lua	MOON	Karitiana	0	oti	oti	35	Karitiana	MOON	35.U.V 35.T.C 35.I.V	XBZ	7 1 7	o t i	oti	1.5 1.75 0.8		
4374	n e s o -	NESU	1499	10949	montanhamontemorro	MOUNTAIN	Karitiana	0	neso	neso	35	Karitiana	MOUNTAIN	35.N.C 35.E.V 35.S.C 35.U.V	AXBZ	4 7 3 7	n e s o	neso	2.0 1.5 1.75 0.8		
4375	t i - - k -	TIK	1480	10795	pernilongomuricocacarapana1	MOSQUITO	Karitiana	0	tik	tik	35	Karitiana	MOSQUITO	35.T.C 35.I.V 35.K.c	AXN	1 7 1	t i k	tik	2.0 1.5 0.8		
4376	- t - - i -	TI	1486	10852	mother1	MOTHER	Karitiana	0	ti	ti	35	Karitiana	MOTHER	35.T.C 35.I.V	AX	1 7	t i	ti	2.0 1.5		
4377	- k ɨ j a k	KIJAK	1507	11004	bigode	MOUSTACHE	Karitiana	0	kɨjak	kɨjak	35	Karitiana	MOUSTACHE	35.K.C 35.I.V 35.J.C 35.A.V 35.K.c	AXBYN	1 7 6 7 1	k ɨ j a k	kɨjak	2.0 1.5 1.75 1.3 0.8		
4378	k o r o m o	KURUMU	1517	11050	boca	MOUTH	Karitiana	0	koromo	koromo	35	Karitiana	MOUTH	35.K.C 35.U.V 35.R.C 35.U.V 35.M.C 35.U.V	AXBYBZ	1 7 5 7 4 7	k o r o m o	koromo	2.0 1.5 1.75 1.3 1.75 0.8		
4379	p i + s o k õ - - n	PISUKUN	1522	11114 795	unhagarra	NAIL / CLAW	Karitiana	0	pisokõn	pisokõn	35	Karitiana	FINGER NAIL	35.P.C 35.I.V 35.S.C 35.U.V 35.K.C 35.U.V 35.N.c	AXBYBYN	1 7 3 7 1 7 4	p i + s o k õ n	pisokõn	2.0 1.5 1.75 1.3 1.75 1.3 0.8		
4380	- - s a t -	SAT	1528	11171	nome1	NAME	Karitiana	0	sat	sat	35	Karitiana	NAME	35.S.C 35.A.V 35.T.c	AXN	3 7 1	s a t	sat	2.0 1.5 0.8		
4381	h ɨ t	HITU	4707	3159	pescoco	NECK	Karitiana	0	hɨt(o)	hɨto	35	Karitiana	NECK	35.H.C 35.I.V 35.T.C 35.U.V	AXBZ	3 7 1 7	h ɨ t	hɨto	2.0 1.5 1.75 0.8		
4382	ĩ nʰ p i s a k o	INPISAKU	1542	11289	ninho	NEST	Karitiana	0	ĩnhpisako	ĩnʰpisako	35	Karitiana	NEST	35.I.V 35.N.c 35.P.C 35.I.V 35.S.C 35.A.V 35.K.C 35.U.V	XMBYBYBZ	7 4 1 7 3 7 1 7	ĩ nʰ p i s a k o	ĩnhpisako	1.5 1.1 1.75 1.3 1.75 1.3 1.75 0.8		
4383	ŋ o t - -	NUT	1552	11333	novo	NEW	Karitiana	0	ŋot	ŋot	35	Karitiana	NEW	35.N.C 35.U.V 35.T.c	AXN	4 7 1	ŋ o t	ŋot	2.0 1.5 0.8		
4384	- - - n i - p - - - - - - - - - -	NIP	1554	11386	noite	NIGHT	Karitiana	0	nip	nip	35	Karitiana	NIGHT	35.N.C 35.I.V 35.P.c	AXN	4 7 1	n i p	nip	2.0 1.5 0.8		
4385	ɲ õ p io p -	NUPIP	1565	11454	nariz	NOSE	Karitiana	0	ɲõpiop	ɲõpiop	35	Karitiana	NOSE	35.N.C 35.U.V 35.P.C 35.I.V 35.P.c	AXBYN	4 7 1 7 1	ɲ õ p io p	ɲõpiop	2.0 1.5 1.75 1.3 0.8		
4386	h ɨ k	HIK	1595	11600	velho	OLD (adj)	Karitiana	0	hɨk	hɨk	35	Karitiana	OLD	35.H.C 35.I.V 35.K.c	AXN	3 7 1	h ɨ k	hɨk	2.0 1.5 0.8		
4387	m ɨ̃ - - - - h ĩ n - t -	MIHINT	1605	11646	um	ONE	Karitiana	0	mɨ̃hĩnt	mɨ̃hĩnt	35	Karitiana	ONE	35.M.C 35.I.V 35.H.C 35.I.V 35.N.c 35.T.c	AXBYLN	4 7 3 7 4 1	m ɨ̃ h ĩ n t	mɨ̃hĩnt	2.0 1.5 1.75 1.3 1.1 0.8		
4388	n o - k õ - - - - n	NUKUN	1618	11734	gamba	OPOSSUM / SKUNK	Karitiana	0	nokõn	nokõn	35	Karitiana	OPOSSUM	35.N.C 35.U.V 35.K.C 35.U.V 35.N.c	AXBYN	4 7 1 7 4	n o k õ n	nokõn	2.0 1.5 1.75 1.3 0.8		
4389	p ɨː - - p ɨː p -	PIPIP	1632	11822	coruja	OWL	Karitiana	0	pɨɨpɨɨp	pɨːpɨːp	35	Karitiana	OWL	35.P.C 35.I.V 35.P.C 35.I.V 35.P.c	AXBYN	1 7 1 7 1	p ɨː p ɨː p	pɨɨpɨɨp	2.0 1.5 1.75 1.3 0.8		
4390	m o r o t ɨ	MURUTI	1643	11883	paca	PACA	Karitiana	0	morotɨ	morotɨ	35	Karitiana	PACA	35.M.C 35.U.V 35.R.C 35.U.V 35.T.C 35.I.V	AXBYBZ	4 7 5 7 1 7	m o r o t ɨ	morotɨ	2.0 1.5 1.75 1.3 1.75 0.8		
4391	i p + t o t o -	IP_TUTU	4261	11938 2628	pacu	PACU FISH	Karitiana	0	ip toto	ip+toto	35	Karitiana	_FISH PACU	35.I.V 35.P.c 35._._ 35.T.C 35.U.V 35.T.C 35.U.V	XN_AXBZ	7 1 9 1 7 1 7	i p + t o t o	ip toto	1.5 0.8 0.0 2.0 1.5 1.75 0.8		
4392	- - o - t i - -	UTI	1657	11979	dormachucado1	PAIN	Karitiana	1	oti	oti	35	Karitiana	PAIN	35.U.V 35.T.C 35.I.V	XBZ	7 1 7	o t i	oti	1.5 1.75 0.8		
4393	g ɨ -	KI	1678	12109	papagaio	PARROT	Karitiana	0	gɨ	gɨ	35	Karitiana	PARROT	35.K.C 35.I.V	AX	1 7	g ɨ	gɨ	2.0 1.5		
4394	- - - p a -	PA	1682	12170	caminho1	PATH / WAY	Karitiana	0	pa	pa	35	Karitiana	PATH	35.P.C 35.A.V	AX	1 7	p a	pa	2.0 1.5		
4395	ɲ õ ɲ + - - m ɨ t -	NUN_MIT	1687	12241 12242	pupunha	PEACH PALM	Karitiana	0	ɲõɲ mɨt	ɲõɲ+mɨt	35	Karitiana	PEACH_PALM ?	35.N.C 35.U.V 35.N.c 35._._ 35.M.C 35.I.V 35.T.c	AXN_AXN	4 7 4 9 4 7 1	ɲ õ ɲ + m ɨ t	ɲõɲ mɨt	2.0 1.5 0.8 0.0 2.0 1.5 0.8		
4396	- m ĩ ʔ ĩ - - -	MIHI	1696	12265	amendoim1	PEANUT	Karitiana	0	mĩʔĩ	mĩʔĩ	35	Karitiana	PEANUT	35.M.C 35.I.V 35.H.C 35.I.V	AXBZ	4 7 1 7	m ĩ ʔ ĩ	mĩʔĩ	2.0 1.5 1.75 0.8		
4397	s oi t a + p i t a t	SUTA_PITAT	1703	12302 12300	porcodomatocaititucaitetu	PECCARY (collared)	Karitiana	0	soita pitat	soita+pitat	35	Karitiana	? PECCARY	35.S.C 35.U.V 35.T.C 35.A.V 35._._ 35.P.C 35.I.V 35.T.C 35.A.V 35.T.c	AXBZ_AXBYN	3 7 1 7 9 1 7 1 7 1	s oi t a + p i t a t	soita pitat	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 1.3 0.8		
4398	s oi - - t aː t - - ɨ - -	SUTATI	1714	12355	queixada	PECCARY (white-lipped)	Karitiana	0	soitaatɨ	soitaːtɨ	35	Karitiana	PECCARY	35.S.C 35.U.V 35.T.C 35.A.V 35.T.C 35.I.V	AXBYBZ	3 7 1 7 1 7	s oi t aː t ɨ	soitaatɨ	2.0 1.5 1.75 1.3 1.75 0.8		
4399	- o - p o h -	UPUH	1721	12399	penis	PENIS	Karitiana	0	opoh	opoh	35	Karitiana	PENIS	35.U.V 35.P.C 35.U.V 35.H.c	XBYN	7 1 7 3	o p o h	opoh	1.5 1.75 1.3 0.8		
4400	s o - - ɲ -	SUN	1726	12453	pimenta	PEPPER	Karitiana	0	soɲ	soɲ	35	Karitiana	PEPPER	35.S.C 35.U.V 35.N.c	AXN	3 7 4	s o ɲ	soɲ	2.0 1.5 0.8		
4401	p ɨe s - - o -	PISU	3672	1890	pessoaserhumanoalguem	PERSON / HB / SOMEONE	Karitiana	0	pɨeso	pɨeso	35	Karitiana	PERSON	35.P.C 35.I.V 35.S.C 35.U.V	AXBZ	1 7 3 7	p ɨe s o	pɨeso	2.0 1.5 1.75 0.8		
4402	k o j p a	KUJPA	1761	12655	abacaxi	PINEAPPLE	Karitiana	0	kojpa	kojpa	35	Karitiana	PINEAPPLE	35.K.C 35.U.V 35.J.c 35.P.C 35.A.V	AXMBZ	1 7 6 1 7	k o j p a	kojpa	2.0 1.5 1.1 1.75 0.8		
4403	- - i s õ ɲ	ISUN	1764	12695	piranha	PIRANHA	Karitiana	0	isõɲ	isõɲ	35	Karitiana	PIRANHA	35.I.V 35.S.C 35.U.V 35.N.c	XBYN	7 3 7 4	i s õ ɲ	isõɲ	1.5 1.75 1.3 0.8		
4404	- p - - a s i	PASI	1794	12860	aboboramorangajerimun	PUMPKIN	Karitiana	0	pasi	pasi	35	Karitiana	PUMPKIN	35.P.C 35.A.V 35.S.C 35.I.V	AXBZ	1 7 3 7	p a s i	pasi	2.0 1.5 1.75 0.8		
4405	e	E	1808	12960	chuva4	RAIN	Karitiana	0	e	e	35	Karitiana	RAIN	35.E.V	X	7	e	e	1.5		
4406	- - m ẽ j e h - ɨ g	MEJEHIK	1811	13026	rato	RAT	Karitiana	0	mẽjehɨg	mẽjehɨg	35	Karitiana	RAT	35.M.C 35.E.V 35.J.C 35.E.V 35.H.C 35.I.V 35.K.c	AXBYBYN	4 7 6 7 3 7 1	m ẽ j e h ɨ g	mẽjehɨg	2.0 1.5 1.75 1.3 1.75 1.3 0.8		
4407	s õ m	SUM	1829	13113	vermelho	RED	Karitiana	0	sõm	sõm	35	Karitiana	RED	35.S.C 35.U.V 35.M.c	AXN	3 7 4	s õ m	sõm	2.0 1.5 0.8		
4408	k a r a	KARA	3432	1560	virarvoltar	RETURN / COME BACK	Karitiana	0	kara	kara	35	Karitiana	RETURN	35.K.C 35.A.V 35.R.C 35.A.V	AXBZ	1 7 5 7	k a r a	kara	2.0 1.5 1.75 0.8		
4409	s o m õ r õ	SUMURU	1850	13262	maduro	RIPE	Karitiana	0	somõrõ	somõrõ	35	Karitiana	RIPE	35.S.C 35.U.V 35.M.C 35.U.V 35.R.C 35.U.V	AXBYBZ	3 7 4 7 5 7	s o m õ r õ	somõrõ	2.0 1.5 1.75 1.3 1.75 0.8		
4410	- e p k ɨ j ɨ m ɨ	EPKIJIMI	1870	13408	raiz3	ROOT	Karitiana	0	epkɨjɨmɨ	epkɨjɨmɨ	35	Karitiana	ROOT	35.E.V 35.P.c 35.K.C 35.I.V 35.J.C 35.I.V 35.M.C 35.I.V	XMBYBYBZ	7 1 1 7 6 7 4 7	e p k ɨ j ɨ m ɨ	epkɨjɨmɨ	1.5 1.1 1.75 1.3 1.75 1.3 1.75 0.8		
4411	t a k i p - - - - a	TAKIPA	3725	1967	corda	ROPE	Karitiana	0	takipa	takipa	35	Karitiana	ROPE	35.T.C 35.A.V 35.K.C 35.I.V 35.P.C 35.A.V	AXBYBZ	1 7 1 7 1 7	t a k i p a	takipa	2.0 1.5 1.75 1.3 1.75 0.8		
4412	a t ɨ n - - ã	ATINA	3323	1394	redondo	ROUND	Karitiana	0	atɨnã	atɨnã	35	Karitiana	ROUND	35.A.V 35.T.C 35.I.V 35.N.C 35.A.V	XBYBZ	7 1 7 4 7	a t ɨ n ã	atɨnã	1.5 1.75 1.3 1.75 0.8		
4413	k ɨ + s e - -	KISE	1901	1424 18593	saliva4	SALIVA	Karitiana	0	kɨse	kɨse	35	Karitiana	SALIVA _liquid	35.K.C 35.I.V 35.S.C 35.E.V	AXBZ	1 7 3 7	k ɨ + s e	kɨse	2.0 1.5 1.75 0.8		
4414	- - - - - e j eĩ n	EJEN	1915	1407	areia	SAND	Karitiana	0	ejeĩn	ejeĩn	35	Karitiana	SAND	35.E.V 35.J.C 35.E.V 35.N.c	XBYN	7 6 7 4	e j eĩ n	ejeĩn	1.5 1.75 1.3 0.8		
4415	- - ʔ a	HA	1921	13811	dizer	SAY	Karitiana	0	ʔa	ʔa	35	Karitiana	SAY	35.H.C 35.A.V	AX	1 7	ʔ a	ʔa	2.0 1.5		
4416	k e - n õ n - -	KENUN	1939	13904	escorpiao	SCORPION	Karitiana	0	kenõn	kenõn	35	Karitiana	SCORPION	35.K.C 35.E.V 35.N.C 35.U.V 35.N.c	AXBYN	1 7 4 7 4	k e n õ n	kenõn	2.0 1.5 1.75 1.3 0.8		
4417	- - s o ʔ oː t -	SUHUT	1949	13948	ver	SEE	Karitiana	0	soʔoot	soʔoːt	35	Karitiana	SEE	35.S.C 35.U.V 35.H.C 35.U.V 35.T.c	AXBYN	3 7 1 7 1	s o ʔ oː t	soʔoot	2.0 1.5 1.75 1.3 0.8		
4418	s ɨ p o	SIPU	1957	14011	semente	SEED	Karitiana	1	sɨpo	sɨpo	35	Karitiana	SEED	35.S.C 35.I.V 35.P.C 35.U.V	AXBZ	3 7 1 7	s ɨ p o	sɨpo	2.0 1.5 1.75 0.8	Also means 'eye'	
4419	p ɨ k i - - -	PIKI	1960	14070	buscarprocurar	SEEK / LOOK FOR / SEARCH	Karitiana	0	pɨki	pɨki	35	Karitiana	SEEK	35.P.C 35.I.V 35.K.C 35.I.V	AXBZ	1 7 1 7	p ɨ k i	pɨki	2.0 1.5 1.75 0.8	Cariban loan in Proto-Mawé-Awetí-Tupí-Guaraní	YES
4420	p ɨ k ɨ p	PIKIP	1987	14254	cascapele	SHELL / BARK	Karitiana	0	pɨkɨp	pɨkɨp	35	Karitiana	SHELL	35.P.C 35.I.V 35.K.C 35.I.V 35.P.c	AXBYN	1 7 1 7 1	p ɨ k ɨ p	pɨkɨp	2.0 1.5 1.75 1.3 0.8		
4421	k ɨ p eː t	KIPET	4113	778	irma	SISTER, younger of woman	Karitiana	0	kɨpeet	kɨpeːt	35	Karitiana	BROTHER	35.K.C 35.I.V 35.P.C 35.E.V 35.T.c	AXBYN	1 7 1 7 1	k ɨ p eː t	kɨpeet	2.0 1.5 1.75 1.3 0.8		
4422	- - p a - - - -	PA	2023	14547	pele	SKIN	Karitiana	1	pa	pa	35	Karitiana	SKIN	35.P.C 35.A.V	AX	1 7	p a	pa	2.0 1.5		
4423	p ã m p i	PAPI	2030	14608	ceu7	SKY	Karitiana	0	pãmpi	pãmp/ⁿpi	35	Karitiana	SKY	35.P.C 35.A.V 35.P.C 35.I.V	AXBZ	1 7 1 7	p ã m p i	pãmpi	2.0 1.5 1.75 0.8		
4424	- k - a t -	KAT	2043	14724	dormir1	SLEEP	Karitiana	0	kat	kat	35	Karitiana	SLEEP	35.K.C 35.A.V 35.T.c	AXN	1 7 1	k a t	kat	2.0 1.5 0.8		
4425	o i	U_I	2049	14798	bichopreguica1	SLOTH	Karitiana	0	o i	o+i	35	Karitiana	SLOTH	35.U.V 35._._ 35.I.V	X_X	7 9 7	o i	o (ʔ)i	1.5 0.0 1.5		
4426	ʔ ĩ - - n - - ã	HINA	2056	14834	pequeno	SMALL	Karitiana	0	ʔĩnã	ʔĩnã	35	Karitiana	SMALL	35.H.C 35.I.V 35.N.C 35.A.V	AXBZ	1 7 4 7	ʔ ĩ n ã	ʔĩnã	2.0 1.5 1.75 0.8		
4427	i s o ɲ ĩ n/g - a	ISUNIKA	2062	14908	fumaca1	SMOKE (n)	Karitiana	0	isoɲĩŋga	isoɲĩŋg/ⁿga	35	Karitiana	SMOKE	35.I.V 35.S.C 35.U.V 35.N.C 35.I.V 35.K.C 35.A.V	XBYBYBZ	7 3 7 4 7 1 7	i s o ɲ ĩ n/g a	isoɲĩŋga	1.5 1.75 1.3 1.75 1.3 1.75 0.8		
4428	ɲ õ t ɲ	NUTN	2075	14974	caracollesma5	SNAIL	Karitiana	0	ɲõtɲ	ɲõtɲ	35	Karitiana	SNAIL	35.N.C 35.U.V 35.T.C 35.N.C	AXBC	4 7 1 4	ɲ õ t ɲ	ɲõtɲ	2.0 1.5 1.75 1.5		
4429	m o - r o j a	MURUJA	2079	15011	cobra	SNAKE	Karitiana	0	moroja	moroja	35	Karitiana	SNAKE	35.M.C 35.U.V 35.R.C 35.U.V 35.J.C 35.A.V	AXBYBZ	4 7 5 7 6 7	m o r o j a	moroja	2.0 1.5 1.75 1.3 1.75 0.8		
4430	- - - - s ɨ k	SIK	2109	15264	azedoamargo	SOUR / BITTER	Karitiana	0	sɨk	sɨk	35	Karitiana	SOUR	35.S.C 35.I.V 35.K.c	AXN	3 7 1	s ɨ k	sɨk	2.0 1.5 0.8		
4431	n i k i s ɨ	NIKISI	2122	15372	aranhac	SPIDER	Karitiana	0	nikisɨ	nikisɨ	35	Karitiana	SPIDER	35.N.C 35.I.V 35.K.C 35.I.V 35.S.C 35.I.V	AXBYBZ	4 7 1 7 3 7	n i k i s ɨ	nikisɨ	2.0 1.5 1.75 1.3 1.75 0.8		
4432	õ t m	UTM	2134	15434	macacopretomacacoaranhacoata	SPIDER MONKEY	Karitiana	0	õtm	õtm	35	Karitiana	SPIDER.MONKEY	35.U.V 35.T.C 35.M.C	XBC	7 1 4	õ t m	õtm	1.5 1.75 1.5		
4433	- o r o - p o ɲ -	URUPUN	2145	15481	esquilocaxinguelequatimirimquatipuruserelepe	SQUIRREL	Karitiana	0	oropoɲ	oropoɲ	35	Karitiana	SQUIRREL	35.U.V 35.R.C 35.U.V 35.P.C 35.U.V 35.N.c	XBYBYN	7 5 7 1 7 4	o r o p o ɲ	oropoɲ	1.5 1.75 1.3 1.75 1.3 0.8		
4434	- - dʒ ɨ g ŋ ã	TIKNA	2151	15511	estardeempelevantar	STAND	Karitiana	0	dʒɨgŋã	dʒɨgŋã	35	Karitiana	STAND	35.T.C 35.I.V 35.K.C 35.N.C 35.A.V	AXBCZ	1 7 1 4 7	dʒ ɨ g ŋ ã	dʒɨgŋã	2.0 1.5 1.75 1.5 0.8		
4435	- - o - t i r ɨ - p o - -	UTIRIPU	3122	2278	estrela	STAR	Karitiana	0	otirɨpo	otirɨpo	35	Karitiana	STAR	35.U.V 35.T.C 35.I.V 35.R.C 35.I.V 35.P.C 35.U.V	XBYBYBZ	7 1 7 5 7 1 7	o t i r ɨ p o	otirɨpo	1.5 1.75 1.3 1.75 1.3 1.75 0.8		
4436	õ ɲ ĩ -	UNI	2175	15644	arraia	STINGRAY	Karitiana	0	õɲĩ	õɲĩ	35	Karitiana	STINGRAY	35.U.V 35.N.C 35.I.V	XBZ	7 4 7	õ ɲ ĩ	õɲĩ	1.5 1.75 0.8		
4437	- - p i s o k õ nʰ -	PISUKUN	2176	15696	estomago	STOMACH	Karitiana	0	pisokõnh	pisokõnʰ	35	Karitiana	STOMACH	35.P.C 35.I.V 35.S.C 35.U.V 35.K.C 35.U.V 35.N.c	AXBYBYN	1 7 3 7 1 7 4	p i s o k õ nʰ	pisokõnh	2.0 1.5 1.75 1.3 1.75 1.3 0.8		
4438	k i n a p ɨ t i	KINAPITI	3760	2009	pedra	STONE	Karitiana	0	kinapɨti	kinapɨti	35	Karitiana	STONE	35.K.C 35.I.V 35.N.C 35.A.V 35.P.C 35.I.V 35.T.C 35.I.V	AXBYBYBZ	1 7 4 7 1 7 1 7	k i n a p ɨ t i	kinapɨti	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8		
4439	- - n ẽõ m	NEM	2200	15852	sugarchupar	SUCK	Karitiana	0	nẽõm	nẽõm	35	Karitiana	SUCK	35.N.C 35.E.V 35.M.c	AXN	4 7 4	n ẽõ m	nẽõm	2.0 1.5 0.8		
4440	g - o k ɨ p	KUKIP	2207	15889	sol	SUN	Karitiana	0	gokɨp	gokɨp	35	Karitiana	SUN	35.K.C 35.U.V 35.K.C 35.I.V 35.P.c	AXBYN	1 7 1 7 1	g o k ɨ p	gokɨp	2.0 1.5 1.75 1.3 0.8		
4441	i p i b ɨ ɲ	IPIPIN	2216	15970	pintadobagre	SURUBIM	Karitiana	0	ipibɨɲ	ipibɨɲ	35	Karitiana	SURUBIM_FISH	35.I.V 35.P.C 35.I.V 35.P.C 35.I.V 35.N.c	XBYBYN	7 1 7 1 7 4	i p i b ɨ ɲ	ipibɨɲ	1.5 1.75 1.3 1.75 1.3 0.8		
4442	t ɨ - - j - -	TIJ	2218	16005	varrer1	SWEEP	Karitiana	0	tɨj	tɨj	35	Karitiana	SWEEP	35.T.C 35.I.V 35.J.c	AXN	1 7 6	t ɨ j	tɨj	2.0 1.5 0.8		
4443	k o w o t	KUWUT	2227	16054	doce	SWEET	Karitiana	0	kowot	kowot	35	Karitiana	SWEET	35.K.C 35.U.V 35.W.C 35.U.V 35.T.c	AXBYN	1 7 6 7 1	k o w o t	kowot	2.0 1.5 1.75 1.3 0.8		
4444	o h u	UHY	2234	16103	batatdoce3	SWEET POTATO	Karitiana	0	ohu	ohu	35	Karitiana	SWEET.POTATO	35.U.V 35.H.C 35.Y.V	XBZ	7 3 7	o h u	ohu	1.5 1.75 0.8		
4445	t a k t a g - - - - -	TAKTAK	2237	16163	nadar	SWIM	Karitiana	0	taktag	taktag	35	Karitiana	SWIM	35.T.C 35.A.V 35.K.c 35.T.C 35.A.V 35.K.c	AXMBYN	1 7 1 1 7 1	t a k t a g	taktag	2.0 1.5 1.1 1.75 1.3 0.8		
4446	p e t e pː a	PETEPA	2248	16224	rabocauda	TAIL	Karitiana	0	peteppa	petepːa	35	Karitiana	TAIL	35.P.C 35.E.V 35.T.C 35.E.V 35.P.C 35.A.V	AXBYBZ	1 7 1 7 1 7	p e t e pː a	peteppa / sɨpoj	2.0 1.5 1.75 1.3 1.75 0.8		
4447	s ɨ - p o j -	SIPUJ	2247	16223	rabocauda	TAIL	Karitiana	0	sɨpoj	sɨpoj	35	Karitiana	TAIL	35.S.C 35.I.V 35.P.C 35.U.V 35.J.c	AXBYN	3 7 1 7 6	s ɨ p o j	peteppa / sɨpoj	2.0 1.5 1.75 1.3 0.8		
4448	- - ʔ i r i p -	HIRIP	3347	1436	anta	TAPIR	Karitiana	0	ʔirip	ʔirip	35	Karitiana	TAPIR	35.H.C 35.I.V 35.R.C 35.I.V 35.P.c	AXBYN	1 7 5 7 1	ʔ i r i p	ʔirip	2.0 1.5 1.75 1.3 0.8		
4449	õ m a k ɨ + ẽː m	UMAKI_EM	2261	16355 16356	irara	TAYRA	Karitiana	0	õmakɨ ẽẽm	õmakɨ+ẽːm	35	Karitiana	JAGUAR BLACK/DIRTY	35.U.V 35.M.C 35.A.V 35.K.C 35.I.V 35._._ 35.E.V 35.M.c	XBYBZ_XN	7 4 7 1 7 9 7 4	õ m a k ɨ + ẽː m	õmakɨ ẽẽm	1.5 1.75 1.3 1.75 0.8 0.0 1.5 0.8		
4450	g ɨ - - p - - ɨ	KIPI	2294	16541	cupim	TERMITE	Karitiana	0	gɨpɨ	gɨpɨ	35	Karitiana	TERMITE	35.K.C 35.I.V 35.P.C 35.I.V	AXBZ	1 7 1 7	g ɨ p ɨ	gɨpɨ	2.0 1.5 1.75 0.8		
